,songName,artistName,lyrics,Verbs,Nouns,Adverbs,Corpus,Word Counts,Unique Word Counts
10,Don't Get Around Much Anymore,['Duke Ellington'],"When I'm not playing solitaire
I take a book down from the shelf
And what with programs on the air
I keep pretty much to myself.
Missed the Saturday dance
Hear they crowded the floor
Couldn't bear it without you
Don't Get Around Much Anymore
Though I'd visit the club
Got as far as the door
They'd have asked about you
Don't Get Around Much Anymore
Darling I guess my mind's more at case
But nevertheless
Why stir up memories
Been invited on dates
Might have gone but what for
Awf'lly diff'rent without you
Don't Get Around Much Anymore.
Missed the Saturday dance
Hear they crowded the floor
Couldn't bear it without you
Don't Get Around Much Anymore
Though I'd visit the club
Got as far as the door
They'd have asked about you
Don't Get Around Much Anymore
Darling I guess my mind's more at case
But nevertheless
Why stir up memories
Been invited on dates
Might have gone but what for
Awf'lly diff'rent without you
Don't get around much anymore.",play take keep miss crowd Could bear 'd visit 'd ask guess stir invite may go miss crowd Could bear 'd visit 'd ask guess stir invite may go,solitaire book shelf program air dance floor club door darling mind case memory date diff'rent dance floor club door darling mind case memory date diff'rent,when pretty much anymore as far anymore nevertheless why awf'lly anymore anymore as far anymore nevertheless why awf'lly around much anymore,play solitaire book shelf program air pretty miss Saturday dance Hear crowd floor bear anymore visit club Got far door ask anymore darling guess mind case stir memory invite date go awf lly diff rent anymore miss Saturday dance Hear crowd floor bear anymore visit club Got far door ask anymore darling guess mind case stir memory invite date go awf lly diff rent anymore ,172,79
11,It Can't Be Wrong,['Dick Haymes'],"Wrong
Would it be wrong to kiss
Seeing I feel like this
Would it be wrong to try?

Wrong
Would it be wrong to stay
Here in your arms this way
Under this starry sky?

If it is wrong
Then why were you sent to me
Why am I content to be
With you forever?

So
When I need you so much
And I have waited so long
It must be right
It can't be wrong",Would kiss see feel Would try Would stay send need wait must can,arm way starry sky,here then why why forever so when so much so long,Wrong wrong kiss see feel like wrong try wrong wrong stay arm way starry sky wrong send content forever need wait long right wrong,76,48
12,All or Nothing at All,['Frank Sinatra'],"All or nothing at all
Half a love, never appealed to me
If your heart, never could yield to me
Then I'd rather (rather) have nothing at all

All or nothing at all
If it's love, there is no in between
Why begin then cry, for something that might have been
No I'd rather (rather) have nothing at all

But please don't bring your lips so close to my cheek
Don't smile or I'll be lost beyond recall
The kiss in your eyes, the touch of your hand makes me weak
And my heart may go dizzy and fall

And if I fell (I fell) under the spell of your call
I would be, caught in the undertow
So you see, I've got to say no, no
All or nothing at all",appeal could yield 'd begin cry may 'd bring smile will lose make may go dizzy fall fall fall would catch see get say,half love heart love lip cheek recall kiss eye touch hand heart spell call undertow,at all never never then rather rather at all at all why then rather rather at all so close so at all, half love appeal heart yield love begin cry bring lip close cheek smile lose recall kiss eye touch hand make weak heart dizzy fall fall fall spell catch undertow get ,132,89
13,People Will Say We're In Love,"['Damon Daunno', 'Rebecca Naomi Jones']","Why do they think up stories that link my name with yours?
Why do the neighbors gossip all day behind their doors?
I know a way to prove what they say is quite untrue
Here is the gist, a practical list of dont's for you
Don't throw bouquets at me
Don't please my folks too much
Don't laugh at my jokes too much
People will say we're in love
Don't sigh and gaze at me
Your sighs are so like mine
Your eyes mustn't glow like mine
People will say we're in love
Don't start collecting things
Give me my rose and my glove
Sweetheart, they're suspecting things
People will say we're in love
Some people claim that you are to blame as much as I
Why do you take the trouble to bake my favorite pie?
Grantin' your wish I carved our initials on that tree
Just keep a slice of all the advice ya give so free
Don't praise my charm too much
Don't look so vain with me
Don't stand in the rain with me
People will say we're in love
Don't take my arm too much
Don't keep your hand in mine
Your hand feels so grand in mine
People will say we're in love
Don't dance all night with me
'Til the stars fade from above
They'll see it's all right with me
People will say we're in love
Hey! If there's anybody out and around this yard that can hear my voice
I want 'em to know that Miss Laurey Williams is my girl!
Curly!
Hah-ha! And she went and got me to ask her to marry me!
They'll hear you all the way to Catoosie!
Let 'em!
Let people say we're in love
Who cares what happens now?
Just keep your hand in mine
Your hand feels so grand in mine
Let people say we're in love
Starlight looks well on us
Let the stars beam from above
Who cares if they tell on us
Let people say we're in love",think link gossip know prove say throw please laugh will say sigh gaze must glow will say start collect give suspect will say claim blame take bake carve keep give praise look stand will say take keep feel will say dance will see will say can hear want know go get ask marry will hear let let say care happen keep feel let say look let beam care tell let say,story name your neighbor day door way gist list bouquet folk joke People love sigh eye mine People love thing rose glove sweetheart thing People love people trouble pie wish initial tree slice advice charm rain People love arm hand hand People love night star fade People love yard voice girl way people love hand hand people love star people love,why why quite here too much too much so as much why just so too much so too much so all curly now just so well,think story link neighbor gossip day door know way prove untrue gist practical list not throw bouquet folk laugh joke People love sigh gaze sigh like eye glow like People love start collect thing rose glove sweetheart suspect thing People love people claim blame trouble bake favorite pie Grantin wish carve initial tree slice advice ya free praise charm look vain stand rain People love arm hand hand feel grand People love dance night Til star fade right People love hey anybody yard hear voice want em know Miss Laurey Williams girl curly hah ha go get ask marry hear way Catoosie let em let people love care happen hand hand feel grand let people love Starlight look let star beam care tell let people love,338,163
14,They're Either Too Young or Too Old,['Sarah Spiegel'],"They're either too young, or too old
They're either too gray or too grassy green
The pickings are poor and the crop is lean
What's good is in the army
What's left will never harm me
They're either too old or too young
So, darling, you'll never get stung
Tomorrow I'll go hiking with that Eagle Scout unless
I get a call from grandpa for a snappy game of chess
I'll never, never fail ya
While you are in Australia
Or off among the Rooshians
And flying over Egypt
Your heart will never be gypped
And when you get to India
I'll still be what I've been to ya
I've looked the field over
And lo and behold
They're either too young or too old
They're either too bald or too bold
I'm down to the wheelchair and bassinet
My heart just refuses to get upset
I simply can't compel it to
With no Marine to tell it to
I'm either their first breath of spring
Or else, I'm their last little fling
I either get a fossil or an adolescent pup
I either have to hold him off
Or have to hold him up
The battle is on, but the fortress will hold
They're either too young or too old",leave will harm will sting will go hike get will fail fly will gyp get will look behold refuse can compel tell get hold hold will hold,green picking crop army darling tomorrow call game chess heart field wheelchair bassinet heart marine breath spring fling fossil pup battle fortress,too too too too never too too so never never never off never when still too too too too down just simply else on too too,young old gray grassy green picking poor crop lean good army leave harm old young darling sting tomorrow hike Eagle Scout grandpa snappy game chess fail ya Australia Rooshians fly Egypt heart gyp India ya look field lo behold young old bald bold wheelchair bassinet heart refuse upset simply compel marine tell breath spring little fling fossil adolescent pup hold hold battle fortress hold young old,211,119
15,Shoo-Shoo Baby - Digitally Remastered '03,['The Andrews Sisters'],"You've seen him up and down the avenue
And now he's wearin' the navy blue
She had a tear in the corner of her eye
As he said his last goodbye
Shoo, shoo, shoo baby
Shoo, shoo, shoo baby
Bye, bye, bye baby
Do-dah do-day
Your papa's off to the seven seas
Don't cry, baby
Don't sigh, baby
Bye, bye, bye baby
Do-dah do-day
When I come back we'll live a life of ease
Seems kinda tough now
To say goodbye this way
But papa's gotta be rough now
So that he can be sweet to you another day
Bye, bye, bye baby
Don't cry, baby
Shoo, shoo, shoo baby
Do-dah do-day
Your papa's off to the seven seas
do-dah do-day
(Shhh-shoo baby) do-dah do-day
Quiet!
I want a little bit o' quiet in the house, please
(She wants a little bit of quiet in the house)
So your papa's on his way to cross the seven seas
So don't you cry, oh, don't you sigh goodbye now
Shoo, shoo baby shooo-oo-oo
Shoo, shoo my baby shooo
Goodbye baby, don't you cry no more
Your big tall papa's off to the seven seas
Seems kinda tough now
To say goodbye this way
But papa's gotta be rough now
So that he can be sweet to you another day
Shhh baby, shhh baby
Shoo, shoo, shoo baby
Goodbye, goodbye
Your papa's off to the seven seas, the seven seas
Your big tall papa's off to the seven seas",see say cry sigh come will live seem say get can cry want want cross cry sigh shoo cry seem say get can,avenue tear corner eye goodbye baby baby baby dah day papa sea baby baby baby dah day life ease goodbye way papa day baby baby baby dah day papa sea dah day baby dah day bit house bit house papa way sea goodbye baby baby shooo baby papa sea goodbye way papa day baby baby baby goodbye papa sea sea papa sea,now when back kinda now now so so now no kinda now now,see avenue wearin navy blue tear corner eye say goodbye Shoo shoo shoo baby Shoo shoo shoo baby Bye bye bye baby dah day papa seven sea cry baby sigh baby Bye bye bye baby dah day come live life ease kinda tough goodbye way papa get to rough sweet day Bye bye bye baby cry baby Shoo shoo shoo baby dah day papa seven sea dah day Shhh shoo baby dah day quiet want little bit o quiet house want little bit quiet house papa way cross seven sea cry oh sigh goodbye Shoo shoo baby shooo oo oo Shoo shoo baby shooo Goodbye baby cry big tall papa seven sea kinda tough goodbye way papa get to rough sweet day Shhh baby shhh baby Shoo shoo shoo baby Goodbye goodbye papa seven sea seven sea big tall papa seven sea,247,107
16,As Time Goes By,['Dooley Wilson'],"You must remember this
A kiss is just a kiss
A sigh is just a sigh
The fundamental things apply
As time goes by

And when two lovers woo
They still say, ""I love you.""
On that you can rely
No matter what the future brings
As time goes by

Moonlight and love songs never out of date
Hearts full of passion, jealousy and hate
Woman need man and man must have his mate
That no one can deny

It's still the same old story
A fight for love and glory
A case of do or die
The world will always welcome lovers
As time goes by

Moonlight and love songs never out of date
Hearts full of passion, jealousy and hate
Woman need man and man must have his mate
That no one can deny

It's still the same old story
A fight for love and glory
A case of do or die
The world will always welcome lovers
As time goes by",must remember apply go woo say love can rely bring go need must can deny die will welcome go need must can deny die will welcome go,kiss kiss sigh sigh thing time lover future time love song date heart passion jealousy hate man man mate one story fight love glory case world lover time love song date heart passion jealousy hate man man mate one story fight love glory case world lover time,just just by when still no matter by never still always by never still always by,remember kiss kiss sigh sigh fundamental thing apply time go lover woo love rely matter future bring time go Moonlight love song date heart passion jealousy hate Woman need man man mate deny old story fight love glory case die world welcome lover time go Moonlight love song date heart passion jealousy hate Woman need man man mate deny old story fight love glory case die world welcome lover time go,164,77
17,It Started All Over Again,['Frank Sinatra'],"It started all over again
The moment I looked in your eyes
It started all over again
The thrill we can never disguise

The day that we parted, so broken hearted
Will never return again
Dreams I've delayed, promises made
Are starting anew, just for you

It started all over again
The moment I held you so tight
It started all over again
When we kissed away the night - till dawn's early light

Now were together, sweethearts forever
We'll build our romance anew
It started all over again
The moment I looked at you",start look start can disguise part Will return delay make start start hold start kiss will build start look,moment eye thrill day dream promise moment night dawn light sweetheart romance moment,all over again all over again never so never again anew just all over again so tight all over again when away now together forever anew all over again,start moment look eye start thrill disguise day part broken hearted return dream delay promise start anew start moment hold tight start kiss away night till dawn early light sweetheart forever build romance anew start moment look,95,59
18,Why Don't You Do Right?,"['Amy Irving', 'Charles Fleischer']","You had plenty money in nineteen twenty-two
You let other women make a fool of you
Why don't you do right like some other men do?
Get out of here, get me some money too

You're sittin' down wonderin' what it's all about
You ain't got no money they will put you out
Why don't you do right like some other men do?
Get out of here, get me some money too

If you had prepared twenty years ago
You wouldn't be wanderin' now from door to door
Why don't you do right like some other men do?
Get out of here, get me some money too

Why don't you do right like some other men do...?",let make sittin be get will put prepare would,money woman fool right man money money right man money year door door right man money right man,why here too down why here too ago now why here too why,plenty money nineteen let woman fool right like man money sittin wonderin be get money right like man money prepare year ago wanderin door door right like man money right like man ,117,56
19,I'll Be Home for Christmas,['Kelly Clarkson'],"I'll be home for Christmas
You can count on me 
Please have snow and, and mistletoe 
And presents under the tree

Christmas Eve will find you
Where the love light gleams 
I'll be home for Christmas 
If only in my dreams 

Christmas Eve will find me 
Where the love light gleams 
I'll be home for Christmas 
If only in my dreams",will can count will find will will find will,snow mistletoe present tree love light gleam dream love light gleam dream,home where home only where home only,home Christmas count snow mistletoe present tree Christmas Eve find love light gleam home Christmas dream Christmas Eve find love light gleam home Christmas dream,61,34
