,songName,artistName,lyrics,Verbs,Nouns,Adverbs,Corpus,Word Counts,Unique Word Counts
20,You'd Be So Nice to Come Home To,"['Marisa Anderson', ""Tara Jane O'Neil""]","You'd be so nice to come home to
You'd be so nice by the fire
While the breeze on high sang a lullaby
You'd be all that I could desire
Under stars chilled by the winter
Under an August moon burning above
You'd be so nice, you'd be paradise
To come home to and love
Under stars chilled by the winter
Under an August moon burning above
You'd be so nice, you'd be paradise
To come home to and love",'d come 'd sing 'd could desire chill burn 'd 'd come love chill burn 'd 'd come love,fire breeze lullaby star winter moon star winter moon,so home so so home so home,nice come home nice fire breeze high sing lullaby desire star chill winter August moon burn nice paradise come home love star chill winter August moon burn nice paradise come home love,80,37
21,Moonlight Becomes You,['Bing Crosby'],"Moonlight becomes you, it goes with your hair
You certainly know the right thing to wear
Moonlight becomes you, I'm thrilled at the sight
And I could get so romantic tonight

You're all dressed up to go dreaming
Now don't tell me I'm wrong
And what a night to go dreaming
Mind if I tag along?

If I say I love you
I want you to know
It's not just because there's moonlight
Although, moonlight becomes you so

You're all dressed up to go dreaming
Now don't tell me I'm wrong
And what a night to go dreaming
Mind if I tag along?

If I say I love you
I want you to know
It's not just because there's moonlight
Although, moonlight becomes you so",become go know wear become thrill could dress go dream tell go dream tag say love want know become dress go dream tell go dream tag say love want know become,hair thing sight tonight night mind moonlight moonlight night mind moonlight moonlight,certainly so all now just so all now just,Moonlight go hair certainly know right thing wear Moonlight thrill sight romantic tonight dress dream tell wrong night dream mind tag love want know moonlight moonlight dress dream tell wrong night dream mind tag love want know moonlight moonlight,125,57
22,For Me And My Gal,"['Judy Garland', 'Gene Kelly', 'David Rose And His Orchestra']","The bells are ringing for me and my gal,
The birds are singing for me and my gal.
Everybody's been knowing
To a wedding they're going
And for weeks they've been sewing,
Every Susie and Sal.
They're congregating for me and my gal,
The Parson's waiting for me and my gal.
And sometime
I'm goin' to build a little home for two,
For three or four or more,
In Love-land for me and my gal.

See the relatives there
Looking over the pair!
They can tell at a glance
It's a loving romance.

It's a wonderful sight
As the families unite.
Gee! It makes the boy proud
As he says to the crowd:

The bells are ringing for me and my gal,
The birds are singing for me and my gal.
Everybody's been knowing
To a wedding they're going
And for weeks they've been sewing,
Every Susie and Sal.
They're congregating for me and my gal,
The Parson's waiting for me and my gal.
And sometime
I'm goin' to build a little home for two,
For three or four or more,
In Love-land for me and my gal.",ring singe know go sew congregate wait go build see look can tell unite make say ring singe know go sew congregate wait go build,bell gal bird gal wedding week gal gal home love land gal relative pair glance romance sight family boy crowd bell gal bird gal wedding week gal gal home love land gal,sometime there sometime,bell ring gal bird singe gal everybody know wedding go week sew Susie Sal congregate gal Parson wait gal go build little home love land gal relative look pair tell glance loving romance wonderful sight family unite gee make boy proud say crowd bell ring gal bird singe gal everybody know wedding go week sew Susie Sal congregate gal Parson wait gal go build little home love land gal ,188,74
23,I Heard You Cried Last Night (with Mark Warnow & The Hit Parade Orchestra),"['Frank Sinatra', 'Mark Warnow & The Hit Parade Orchestra']","I heard you cried last night and I know why
I heard you cried last night and so did I
Why did you make us part
I'm so alone, why did you take my heart
You didn't want it for your own
And if you hadn't cared to make amends
I might have never dared; we'd be just friends,
So calm your fears and dry your tears
Come kiss the boy you adore
Now you can smile tonight and cry no more.",hear cry know hear cry make take want care make may dare 'd calm dry come kiss adore can smile cry,night night part heart amend friend fear tear boy tonight,why so why so why never just so now no,hear cry night know hear cry night heart want care amend dare friend calm fear dry tear come kiss boy adore smile tonight cry ,82,58
24,Boogie Woogie Bugle Boy,['The Andrews Sisters'],"He was a famous trumpet man from out Chicago way
He had a boogie style that no one else could play
He was the top man at his craft
But then his number came up and he was gone with the draft
He's in the army now, a-blowin' reveille
He's the boogie woogie bugle boy of Company B

They made him blow a bugle for his Uncle Sam
It really brought him down because he couldn't jam
The captain seemed to understand
Because the next day the cap' went out and drafted a band
And now the company jumps when he plays reveille
He's the boogie woogie bugle boy of Company B

A-toot, a-toot, a-toot-diddelyada-toot
He blows it eight-to-the-bar, in boogie rhythm
He can't blow a note unless the bass and guitar is playin' with 'I'm
He makes the company jump when he plays reveille
He's the boogie woogie bugle boy of Company B

He was our boogie woogie bugle boy of Company B
And when he plays boogie woogie bugle he was busy as a 'bzzz' bee
And when he plays he makes the company jump eight-to-the-bar
He's the boogie woogie bugle boy of Company B

Toot-toot-toot, toot-diddelyada, toot-diddelyada
Toot, toot, he blows it eight-to-the-bar
He can't blow a note if the bass and guitar isn't with 'I'm
A-a-a-and the company jumps when he plays reveille
He's the boogie woogie bugle boy of Company B

He puts the boys asleep with boogie every night
And wakes 'em up the same way in the early bright
They clap their hands and stamp their feet
Because they know how he plays when someone gives him a beat
He really breaks it up when he plays reveille
He's the boogie woogie bugle boy of Company B

A-a-a-and the company jumps when he plays reveille
He's the boogie woogie bugle boy of Company B",could play come go make blow bring could jam seem understand go draft jump play blow can blow make play play play make jump blow can blow jump play put wake clap stamp know play give break play jump play,trumpet man way style one man craft number draft army reveille boy bugle captain day cap band company reveille boy a toot toot toot diddelyada toot bar boogie rhythm note bass playin company jump reveille boy woogie boy bzzz company bar boy toot toot toot toot diddelyada toot diddelyada toot bar note bass guitar a company reveille boy boy boogie night way hand foot beat reveille boy a company reveille boy,else then now really now when when when when when how when really when when,famous trumpet man Chicago way boogie style play man craft number come go draft army blowin reveille boogie woogie bugle boy Company B blow bugle Uncle Sam bring jam captain understand day cap go draft band company jump play reveille boogie woogie bugle boy Company B toot toot toot diddelyada toot blow bar boogie rhythm blow note bass guitar playin make company jump play reveille boogie woogie bugle boy Company B boogie woogie bugle boy Company B play boogie woogie bugle busy bzzz bee play make company jump bar boogie woogie bugle boy Company B toot toot toot toot diddelyada toot diddelyada toot toot blow bar blow note bass guitar company jump play reveille boogie woogie bugle boy Company B put boy asleep boogie night wake em way early bright clap hand stamp foot know play give beat break play reveille boogie woogie bugle boy Company B company jump play reveille boogie woogie bugle boy Company B,311,131
25,Let's Get Lost,"['Kay Kyser & His Orch., vocals Harry, Julie, Trudy, Jack & Max']","Let's get lost, lost in each others arms
Let's get lost, let them send out alarms
And if they think we're rather rude
We'll tell the world we're in a crazy mood
Let's defrost, in a romantic mist
Let's get crossed, off everybody's list
We'll tell the world that we have found each other
Darling, let's get lost.",let lose lose let lose let send think will tell let defrost let cross will tell find let lose,other arm alarm world mood mist list world darling,rather off,let lose lose arm let lose let send alarm think rude tell world crazy mood let defrost romantic mist let cross everybody list tell world find darling let lose ,58,42
26,"Oh, What a Beautiful Morning","['Billy Porter', 'Pentatonix']","There's a bright golden haze on the meadow
There's a bright golden haze on the meadow
The corn is as high as an elephant's eye
And it looks like it's climbing clear up to the sky
Oh, what a beautiful mornin'
Oh, what a beautiful day
I've got a beautiful feeling
Everything's going my way
All the cattle are standing like statues
All the cattle are standing like statues
They don't turn their heads as they see me ride by
But a little brown maverick is winking her eye
Oh, what a beautiful mornin'
I've got a beautiful feeling
Everything's going my way
All the sounds of the earth are like music
All the sounds of the earth are like music
The breeze is so busy, it don't miss a tree
And an old weeping willow is laughing at me
Oh, what a beautiful mornin'
Oh, what a beautiful day
I've got a beautiful feeling
Everything's going my way
Oh, what a beautiful day",look climb get go stand stand turn see ride wink get go miss laugh get go,haze meadow haze meadow corn elephant eye sky mornin day feeling way cattle statue cattle statue head maverick eye mornin feeling way sound earth music sound earth music breeze tree weeping willow mornin day feeling way day,as so,bright golden haze meadow bright golden haze meadow corn high elephant eye look like climb clear sky oh beautiful mornin oh beautiful day get beautiful feeling go way cattle stand like statue cattle stand like statue turn head ride little brown maverick wink eye oh beautiful mornin get beautiful feeling go way sound earth like music sound earth like music breeze busy miss tree old weeping willow laugh oh beautiful mornin oh beautiful day get beautiful feeling go way oh beautiful day,164,73
27,These Foolish Things,['Dick Haymes'],"A cigarette that bares a lipstick`s traces
An airline ticket to romantic places
And still my heart has wings
These foolish things remind me of you.
A tinkling piano in the next apartment
Those stumblin`words That told you what my heart meant
A fairground`s painted swings
These foolish things
remind me of you.
You came,
You saw,
You conquered me
When you did that to me
I knew somehow this had to be
The winds of March That made my heart a dancer
A telephone that rings But who`s to answer
Oh, how the ghost of you clings
These foolish things
Remind me of you
First daffodils
And long excited cables
And candle lights
A little corner table
And still my heart has wings
These foolish things remind me of you
The park at evening
When the bell has sounded
The pier in France
With all the gulls around it
The beauty that is spring
These foolish things
Remind me of you
How strange,
How sweet,
To find you still,
These things are dear to me
They seem to bring you near to me
The sigh of midnight trains
At empty stations
Silk stockings thrown aside
Dance invitations
Oh how the ghost of you clings
These foolish things
Remind me of you
Gardenia perfume
Lingering on a pillow
Wild strawberries
Only seven francs a kilo
And still my heart has wings,
These foolish things,
Remind me of you
The smile of Garbo
And the scent of roses
The waiters whistling
As the last bar closes
The song that Crosby sings
These foolish things
Remind me of you
How strange
How sweet
To find you still
These things are dear to me
They seem to bring you near to me
The scent of smoldering leaves
The wail of steamers
Two lovers on the street
Who walk like dreamers
Oh how the ghost of you clings
These foolish things
Remind me of you.",bare remind tinkle tell mean paint remind come see conquer know make ring answer remind daffodil remind sound spre remind find seem bring throw remind linger remind whistle close sing remind find seem bring leave walk remind,cigarette trace airline ticket place heart wing thing piano apartment heart swing thing wind heart dancer telephone ghost cling thing cable candle light corner table heart wing thing park evening bell pier gull beauty thing thing sigh midnight train station stocking dance invitation ghost cling thing perfume pillow strawberry franc kilo heart wing thing smile scent rose waiter bar song thing thing scent smoldering wail steamer lover street dreamer ghost cling thing,still when somehow how long still when how how still near aside how only still how how still near how,cigarette bare lipstick s trace airline ticket romantic place heart wing foolish thing remind tinkle piano apartment stumblin words tell heart mean fairground s paint swing foolish thing remind come see conquer know wind March heart dancer telephone ring who s answer oh ghost cling foolish thing remind daffodil long excited cable candle light little corner table heart wing foolish thing remind park evening bell sound pier France gull beauty spre foolish thing remind strange sweet find thing dear bring near sigh midnight train station Silk stocking throw aside dance invitation oh ghost cling foolish thing remind Gardenia perfume linger pillow Wild strawberry seven franc kilo heart wing foolish thing remind smile Garbo scent rose waiter whistle bar close song Crosby sing foolish thing remind strange sweet find thing dear bring near scent smoldering leave wail steamer lover street walk like dreamer oh ghost cling foolish thing remind ,321,158
28,How Deep Is The Ocean,['Dick Haymes'],"How much do I love you?
I'll tell you no lie
How deep is the ocean?
How high is the sky?
How many times in a day
Do I think of you?
How many roses are
Sprinkled with dew?
How far would I travel
Just to be where you are?
How far is the journey
From here to a star?
And if I ever lost you
How much would I cry?
How deep is the ocean?
How high is the sky?",love will tell think sprinkle would travel lose would cry,lie ocean sky time day rose dew journey star ocean sky,how how how how how how far just where how far here ever how how how,love tell lie deep ocean high sky time day think rose sprinkle dew far travel far journey star lose cry deep ocean high sky ,81,47
29,It Had to Be You,"['Dick Haymes', 'Helen Forrest']","How much do I love you?
I'll tell you no lie
How deep is the ocean?
How high is the sky?
How many times in a day
Do I think of you?
How many roses are
Sprinkled with dew?
How far would I travel
Just to be where you are?
How far is the journey
From here to a star?
And if I ever lost you
How much would I cry?
How deep is the ocean?
How high is the sky?",love will tell think sprinkle would travel lose would cry,lie ocean sky time day rose dew journey star ocean sky,how how how how how how far just where how far here ever how how how,love tell lie deep ocean high sky time day think rose sprinkle dew far travel far journey star lose cry deep ocean high sky ,81,47
30,"""Murder"" He Says",['Four Vagabonds'],"Finally found a fella almost completely divine
But his vocabulary is killin this romance of mine
We get into an intimate... situation
And then begins this Romeo's conversation
He says murder, he says, every time we kiss
He says murder, he says, at a time like this
He says murder, he says, is that the language of love
He says, solid, he says, takes me in his arms
And says, solid, he says, , eaning all my charms
He says, solid, he says, is that the language of love?
He says, chick chick, you torture me
Zoom, are we livin?
I'm thinkin of leaving him flat
He says, dig dig the jumps
The old ticker is giving
He can talk plainer than that
He says, murder, he says, every time we kiss
He says, murder, he says, keep it up like this
He says, murder, he says, in that impossible tone
We'll bring on nobody's murder
But his own
He says, Jackson, he says, and my name's Marie
He says, Jackson, he says, shoot the snoot for me
He says, Jackson, he says, is that the language of love?
He says, mmmhmm, when he likes my hat
He says, tsk tsk, what the heck is that?
He says, woo hoo! he says, is that the language of love?
He says hep hep with helium
Now babe, we're cookin
Another expression's too it
He says, we're in the groove
And the groove is good lookin
Sounds like his uppers don't fit!
He says, murder, he says
Every time we kiss
He says, murder, he says
Keep it up like this
In that, murder, he says
In that impossible tone
We'll bring on nobody's murder
But his own",find get begin say say kiss say say say say say say take say say eane say say say torture leave say dig give can talk say say kiss say say keep say say will bring say say say say shoot say say say like say say say say cookin say fit say say kiss say say keep say will bring,fella vocabulary romance mine intimate situation conversation murder time murder time murder language love arm charm language love jump ticker plainer murder time murder murder tone murder name snoot language love hat heck language love hep hep helium babe expression groove groove lookin sound upper murder time murder murder tone murder,finally almost completely then when now too,finally find fella completely divine vocabulary killin romance intimate situation begin Romeo conversation say murder say time kiss say murder say time like say murder say language love say solid say take arm say solid say eane charm say solid say language love say chick chick torture Zoom livin thinkin leave flat say dig dig jump old ticker give talk plainer say murder say time kiss say murder say like say murder say impossible tone bring murder say Jackson say Marie say Jackson say shoot snoot say Jackson say language love say mmmhmm like hat say tsk tsk heck say woo hoo say language love say hep hep helium babe cookin expression say groove groove good lookin sound like upper fit say murder say time kiss say murder say like murder say impossible tone bring murder ,286,125
31,It's Always You,['Frank Sinatra'],"Whenever it's early twilight
I watch till a star breaks through
Funny, it's not a star I see
It's always you

Whenever I roam through roses
And lately I often do
Funny, it's not a rose I touch
It's always you

If a breeze caresses me
It's really you strolling by
If I hear a melody
It's merely the way you sigh

Wherever you are, you're near me
You dare me to be untrue
Funny, each time I fall in love
It's always you",watch break see roam touch caress stroll hear sigh dare fall,twilight star star rose rose breeze melody way time love,whenever always whenever lately often always really merely wherever always,early twilight watch till star break Funny star roam rose lately Funny rose touch breeze caress stroll hear melody merely way sigh near dare untrue Funny time fall love ,84,52
32,Victry Polka,['Harry James'],"There's going to be a Hallelujah Day
When the boys have all come home to stay
And a million bands begin to play.
We'll be dancing ""The Vict'ry Polka.""
And when we've lit the torch of liberty
In each blacked out land across the sea
When a man can proudly say 'I'm free'
We'll be dancing ""The Vict'ry Polka.""
And we will give a mighty cheer
When the ration book is just a souvenir.
And we'll heave a mighty sigh
When each gal can kiss the boy she kissed good-bye.
And they'll come marching down Fifth Avenue
The United Nations in review
When this lovely dream has all come true.
We'll be dancing ""The Vict'ry Polka.""
Dance, dance, dance ""The Vict'ry Polka.""
Join, join the merry throng.
Sing, sing, sing ""The Vict'ry Polka.""
Raise your voices loud and strong.
There's going to be a great Hallelujah Day
When the boys have all come home to stay
And a million bands begin to play.
We'll be dancing ""The Vict'ry Polka.""
And when we've lit the torch of liberty
In each blacked out land across the sea.
When a man can proudly say 'I'm free'
We'll be dancing ""The Vict'ry Polka.""
And we will give a mi-mi-mighty cheer
When the ration book is just a souvenir.
And we'll heave a mi-mi-mighty sigh
When each gal can kiss the boy she kissed good-bye.
And they'll come marching down Fifth Avenue
The United Nations in review
When this lovely dream has all come true.
We'll be dancing ""The Vict'ry Polka.""
We'll be dancing ""The Vict'ry Polka.""",go come stay begin play will dance light black can say will dance will give will heave can kiss kiss will come march come will dance join join sing sing sing raise go come stay begin play will dance light black can say will dance will give will heave can kiss kiss will come march come will dance will dance,boy band torch liberty land sea man cheer ration book souvenir sigh gal boy bye review dream dance dance dance merry voice boy band torch liberty land sea man mi cheer ration book souvenir mi sigh gal boy bye review dream,when home when when proudly when just when when when home when when proudly when just when when,go Hallelujah Day boy come home stay million band begin play dance Vict ry Polka light torch liberty black land sea man proudly free dance Vict ry Polka mighty cheer ration book souvenir heave mighty sigh gal kiss boy kiss good bye come march Fifth Avenue United Nations review lovely dream come true dance Vict ry Polka dance dance dance Vict ry Polka join join merry throng sing sing sing Vict ry Polka raise voice loud strong go great Hallelujah Day boy come home stay million band begin play dance Vict ry Polka light torch liberty black land sea man proudly free dance Vict ry Polka mi mi mighty cheer ration book souvenir heave mi mi mighty sigh gal kiss boy kiss good bye come march Fifth Avenue United Nations review lovely dream come true dance Vict ry Polka dance Vict ry Polka ,262,97
33,In My Arms,"['Dick Haymes & The Song Spinners', 'Dick Haymes']","His cousin had sent him a sweater
And his sister wrote a letter
But he wanted something much better
This boy who was sailing away
For his buddies were with their sweethearts
All around him with their sweethearts
Now he'd never had any sweethearts
And over and over he'd say

In my arms, in my arms
Ain't I never gonna have a girl in my arms
In my arms, in my arms
Ain't I never gonna get a bundle of charms
Comes the dawn, I'll be gone
I just gotta have a honey holdin' me tight
You can keep your knittin' and purlin'
If I'm gonna go to Berlin
Gimme a girl in my arms tonight

His grandma had sent him some candy
And as he chewed on the candy
He said my morale is just dandy
And still there's a tear in my eye
For his buddies were there with their sweethearts
Kissing bye-bye with their sweethearts
Now he'd never had any sweethearts
And over and over he'd cry

In my arms, in my arms
Ain't I never gonna have a girl in my arms
In my arms, in my arms
Ain't I never gonna get a bundle of charms
Comes the dawn, I'll be gone
And I thank you for the many letters you'll write
As for something nice and cute and female
I'll never get it in the V-mail
Gimme a girl in my arms tonight

In my arms, in my arms
Ain't I never gonna have a girl in my arms
In my arms, in my arms
Ain't I never gonna get a bundle of charms
Comes the dawn, I'll be gone
I'll be headin' for the very thick of the fight
You can wine and dine and cigarette me
But if you really wanna get me
Gimme a girl in my arms tonight

In my arms, in my arms
Ain't I never gonna have a girl in my arms
In my arms, in my arms
Ain't I never gonna get a bundle of charms
Comes the dawn, I'll be gone
Now does anyone wanna please treat me right
You can keep your shavin' cream and lotion
If I'm a-gonna cross the ocean
Give me a girl in my arms tonight",send write want sail have 'd say be go be go come will go get can keep go go send chew say kiss have 'd cry be go be go come will go thank will write will be go be go come will go will can wine dine cigarette wanna get be go be go come will go treat can keep give,cousin sweater sister letter boy buddy sweetheart sweetheart sweetheart arm arm girl arm arm arm bundle charm dawn honey knittin girl arm tonight grandma candy candy morale tear eye buddy sweetheart bye bye sweetheart sweetheart arm arm girl arm arm arm bundle charm dawn letter v mail girl arm tonight arm arm girl arm arm arm bundle charm dawn fight girl arm tonight arm arm girl arm arm arm bundle charm dawn shavin cream lotion gonna cross ocean girl arm tonight,much all now never over never never just tight just still there now never over never never never never never very really never never now right,cousin send sweater sister write letter want well boy sail away buddy sweetheart sweetheart sweetheart arm arm be go to girl arm arm arm be go to bundle charm come dawn go get to honey holdin tight knittin purlin go to Berlin Gimme girl arm tonight grandma send candy chew candy say morale dandy tear eye buddy sweetheart kiss bye bye sweetheart sweetheart cry arm arm be go to girl arm arm arm be go to bundle charm come dawn go thank letter write nice cute female v mail Gimme girl arm tonight arm arm be go to girl arm arm arm be go to bundle charm come dawn go headin thick fight wine dine cigarette wanna Gimme girl arm tonight arm arm be go to girl arm arm arm be go to bundle charm come dawn go wanna treat right shavin cream lotion gonna cross ocean girl arm tonight,375,132
34,White Christmas,['Bing Crosby'],"I'm dreaming of a white Christmas
Just like the ones I used to know
Where the treetops glisten
And children listen
To hear sleigh bells in the snow

I'm dreaming of a white Christmas
With every Christmas card I write
May your days be merry and bright
And may all your Christmases be white

I'm dreaming of a white Christmas
Just like the ones I used to know
Where the treetops glisten
And children listen
To hear sleigh bells in the snow

I'm dreaming of a white Christmas
With every Christmas card I write
May your days be merry and bright
And may all your Christmases be white

Version on Seasons Greetings:
I'm dreaming of a white Christmas 
Just like the ones I used to know 
Where the tree-tops glisten and children listen 
To hear sleigh bells in the snow 

I'm dreaming of a white Christmas 
With every Christmas card I write 
""May your days be merry and bright 
And may all your Christmases be white""",dream use know glisten listen hear dream write May may dream use know glisten listen hear dream write May may dream use know listen hear dream write May may,one treetop child sleigh bell snow card day one treetop child sleigh bell snow card day one tree top glisten child sleigh bell snow card day,just where just where just where,dream white Christmas like one know treetop glisten child listen hear sleigh bell snow dream white Christmas Christmas card write day merry bright Christmases white dream white Christmas like one know treetop glisten child listen hear sleigh bell snow dream white Christmas Christmas card write day merry bright Christmases white Version Seasons Greetings dream white Christmas like one know tree top glisten child listen hear sleigh bell snow dream white Christmas Christmas card write day merry bright Christmases white ,166,47
36,That Old Black Magic,['Ella Fitzgerald'],"That old black magic's got me in its spell
That old black magic that you weave so well
Those icy fingers
Up and down my spine
The same old witchcraft when your eyes meet mine

The same old tingle that I feel inside
And when that elevator starts its ride
Darling down and down I go, round and round I go
Like a leaf that's
Caught in the tide

I should stay away but what can I do
I hear your name, and I'm aflame
Aflame with
Such a burning desire
That only your kiss can put out the fire

You're the lover
You're the lover
You're the lover
You're the lover
I have waited for

The mate that fate had me created for
And every time your lips meet mine

Darling down and down I go
Round and Round I go
In a spin, I'm loving the spin that I'm in
I'm Under that old black magic called love

Yes I'm in a spin, I'm loving the spin I'm in
I'm under that old black magic called love
Got me spinning and spinning and spinning around
Like an elevator's going down
In this magic, black magic called love",get weave meet feel start darle go go should stay can hear burn can put wait create meet darle go go love call love call spin spin go call,magic spell magic icy finger spine witchcraft eye mine tingle elevator ride leaf tide name aflame desire kiss fire lover lover lover lover mate fate time lip mine round round spin spin magic love spin spin magic love spinning elevator magic love,so when when down down round away only down down down,old black magic get spell old black magic weave icy finger spine old witchcraft eye meet old tingle feel inside elevator start ride darle round round like leaf Caught tide stay away hear aflame Aflame burn desire kiss fire lover lover lover lover wait mate fate create time lip meet darle round round spin love spin old black magic call love yes spin love spin old black magic call love Got spin spinning spin like elevator go magic black magic call love,199,101
37,Close To You - Remastered,['Frank Sinatra'],"Why do birds suddenly appear
Every time you are near?
Just like me, they long to be
Close to you
Why do stars fall down from the sky
Every time you walk by?
Just like me, they long to be
Close to you
On the day that you were born
The angels got together
And decided to create a dream come true
So they sprinkled moon dust in your hair of golden starlight in your eyes of blue
That is why all the girls in town
Follow you all around
Just like me, they long to be
Close to you
On the day that you were born
The angels got together
And decided to create a dream come true
So they sprinkled moon dust in your hair of gold and starlight in your eyes of blue
That is why all the girls in town
Follow you all around
Just like me, they long to be
Close to you
Just like me, they long to be
Close to you
Wa, close to you
Wa, close to you
Ha, close to you
La, close to you",appear fall walk bear get decide create come sprinkle follow bear get decide create come sprinkle follow,bird time star sky time day angel dream moon dust hair starlight eye girl town day angel dream moon dust hair gold eye girl town wa wa,why suddenly just long close why just long close together so why just long close together so why just long close just long close close close,bird suddenly appear time near like long close star fall sky time walk like long close day bear angel get decide create dream come true sprinkle moon dust hair golden starlight eye blue girl town follow like long close day bear angel get decide create dream come true sprinkle moon dust hair gold starlight eye blue girl town follow like long close like long close wa close wa close ha close La close,184,68
38,Don't Cry Baby,['Erskine Hawkins'],"I just needed someone, somebody to hold
When the bottle was empty
And the nights grew cold
In my hour of darkness
In my time of need
You were my angel of mercy
And helped me to believe
You touched my soul
When I was lonely
You held me up
When I couldn't fly
There's no words could explain
How I feel inside
And this I tell you
In a world full of anger
In times gone strange
You held me close
You held me close to you
Lay my head on your shoulder
I finally let it all out
It felt good for a moment
Not living in a shadow of doubt
But everybody needs a little something
To pull them through
I gave one for the other
And God know that the other was you
Now only time will tell
Only time will tell
If our love is scratched in sand
Or if it's etched in stone
Only time will tell
Only time will tell
If our love will stand
Or walk the road alone
My angel of mercy
Pulled me through somehow
I just hope you know
I need you now
You're the one
That touched my very soul
The one who held on tight
God knows you never let go
Now only time will tell
Only time will tell
If our love is scratched in sand
Or if it's etched in stone
Only time will tell
Only time will tell
If our love will stand
Or walk the road alone
Only time will
Only time will
Only time will tell
(Can you teach my soul to fly)
Only time will
Only time will
(Can you save me)
Only time will tell
Angel of mercy
It's time we closed the door
Put out the lights
And burn the fire
Burn the fire inside
Angel of mercy",need hold grow help believe touch hold could fly could explain feel tell go hold hold let feel live need pull give know will tell will tell scratch etch will tell will tell will stand walk pull hope know need touch hold know let go will tell will tell scratch etch will tell will tell will stand walk will will will tell Can teach fly will will Can save will tell close put burn burn,bottle night hour darkness time need angel mercy soul word world anger time head shoulder moment shadow doubt time time love sand stone time time love road angel mercy one soul one time time love sand stone time time love road time time time soul time time time mercy time door light fire fire mercy,just when when when how close close finally now only alone somehow just now never now only alone,need somebody hold bottle night grow cold hour darkness time need angel mercy help believe touch soul lonely hold fly word explain feel inside tell world anger time go strange hold close hold close Lay head shoulder finally let feel good moment live shadow doubt everybody need little pull give God know time tell time tell love scratch sand etch stone time tell time tell love stand walk road angel mercy pull hope know need touch soul hold tight God know let time tell time tell love scratch sand etch stone time tell time tell love stand walk road time time time tell teach soul fly time time save time tell Angel mercy time close door light burn fire burn fire inside Angel mercy,309,139
39,My Ideal,"['Billy Butterfield', 'Margaret Whiting']","Long ago my heart and mind
Got together and designed
The wonderful girl for me
Oh what a fantasy
Thought the ideal of my heart
Can't be ordered a la carte
I wonder if she will be
Always a fantasy
Will I ever find the girl in my mind?
The one who is my ideal
Maybe she's a dream and yet she might be
Just around the corner waiting for me
Will I recognize the light in her eyes
That no other eyes reveal
Or will I pass her by and never even know
That she was my ideal
Will I recognize the light in her eyes
That no other eyes reveal
Or will I pass her by and never even know
That she is my ideal",design think can order wonder will Will find may wait Will recognize reveal will pass know Will recognize reveal will pass know,heart mind girl fantasy ideal heart fantasy girl mind one dream corner light eye eye light eye eye,long ago together always ever maybe yet just by never even by never even,long ago heart mind Got design wonderful girl oh fantasy think ideal heart order la carte wonder fantasy find girl mind ideal maybe dream corner wait recognize light eye eye reveal pass know ideal recognize light eye eye reveal pass know ideal,127,65
40,All For You,['Nat King Cole Trio'],"When you raise your eyes and make believe
All the stars come out and paint a world of blue
There's my heart right up your sleeve
Waiting all for you

When you smile on me, the world is mine
And the dreams I dream, I know will all come true
Every care becomes divine
Waiting all for you

My heart is beating to the old refrain
When I'm alone with you
My heart's repeating, ""I'm in love again""
Can't we hold a rendezvous?

You're the dreams I dream, the song I sing
You're the stars and moon and nearly everything
Life would be a symphony
Waiting all for you

My heart is beating to the old refrain
When I'm alone with you
My heart's repeating, ""I'm in love again""
Can't we hold a rendezvous?

You're the dreams I dream, the song I sing
You're the stars and moon and nearly everything
Life would be a symphony
Living all for you",raise make believe come paint wait smile dream know will come become wait beat can hold dream sing would wait beat can hold dream sing would live,eye star world heart sleeve world dream care heart refrain heart repeating love rendezvous dream song star moon symphony heart refrain heart repeating love rendezvous dream song star moon symphony,when right all when all when again nearly all when again nearly all,raise eye believe star come paint world blue heart right sleeve wait smile world dream dream know come true care divine wait heart beat old refrain heart repeating love hold rendezvous dream dream song sing star moon nearly Life symphony wait heart beat old refrain heart repeating love hold rendezvous dream dream song sing star moon nearly Life symphony live,160,72
42,I Never Mention your Name,"['Fapy Lafertin Quintet', 'Tim Kliphuis']","So many things that I think of so much
But there is one memory my lips never touch

I never mention your name, oh no
I never dream of your eyes
I never go where we used to go
To hear the echo of your sighs

I never mention your name, oh no
I never ache for your kiss
I never turn all the lights down low
To let the shadows reminisce

I never wait by the fire
Expecting you to call by ten
I never feel the slightest desire
To hold you when it's night again

I never mention your name, oh no
I never know you're away
Except for every minute of every hour
Of every night and day

(Instrumental Break)

I never wait by the fire
Expecting you to call by ten
I never feel the slightest desire
To hold you when it's night again

I never mention your name, oh no
I never know you're away
Except for every minute of every hour
Of every night and day",think touch mention dream go use go hear mention ache turn let reminisce wait expect call feel hold mention know wait expect call feel hold mention know,thing memory lip name eye echo sigh name kiss light shadow fire desire night name minute hour night day fire desire night name minute hour night day,so so never never never never where never never never never never when again never never away never never when again never never away,thing think memory lip touch mention oh dream eye hear echo sigh mention oh ache kiss turn light low let shadow reminisce wait fire expect feel slight desire hold night mention oh know away minute hour night day instrumental Break wait fire expect feel slight desire hold night mention oh know away minute hour night day,172,73
