,rating,songName,artistName,genre,lyrics
80,72.5,BELIEVE IT,"['PARTYNEXTDOOR', 'Rihanna']","['pop', 'pop rap', 'rap', 'toronto rap', 'trap', 'urban contemporary', 'barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",
81,73.0,Dior,['Pop Smoke'],['rap'],
82,73.5,Cool Again,['Kane Brown'],"['contemporary country', 'country road']",
83,73.66666666666667,Boss Bitch,['Doja Cat'],"['la indie', 'pop']",
84,74.0,the other girl (with Halsey),"['Kelsea Ballerini', 'Halsey']","['contemporary country', 'pop', 'dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",
85,74.33333333333333,Say So (feat. Nicki Minaj),"['Doja Cat', 'Nicki Minaj']","['la indie', 'pop', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']",
86,75.0,If the World Was Ending - feat. Julia Michaels,"['JP Saxe', 'Julia Michaels']","['canadian contemporary r&b', 'pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",
87,81.0,I Don't Care (with Justin Bieber),"['Ed Sheeran', 'Justin Bieber']","['pop', 'uk pop', 'canadian pop', 'pop', 'post-teen pop']",
88,83.5,Trillionaire (feat. Youngboy Never Broke Again),"['Future', 'YoungBoy Never Broke Again']","['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'baton rouge rap', 'trap']",
89,86.0,I’m Ready (with Demi Lovato),"['Sam Smith', 'Demi Lovato']","['pop', 'uk pop', 'dance pop', 'pop', 'post-teen pop']",
90,89.5,La Difícil,['Bad Bunny'],"['latin', 'reggaeton', 'trap latino']",
