,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
18,Breaking Me,Breaking Me,Topic,2019-12-19,166793,92,0.789,0.223,0.789,0.72,0.0,0.129,-5.652,0.218,122.031,4
19,Intentions (feat. Quavo),Changes,Justin Bieber,2020-02-14,212866,88,0.806,0.3,0.806,0.546,0.0,0.102,-6.637,0.0575,147.986,4
20,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,92,0.501,0.751,0.501,0.405,0.0,0.105,-5.679,0.0319,109.891,4
21,Falling,Nicotine,Trevor Daniel,2020-03-26,159381,83,0.784,0.123,0.784,0.43,0.0,0.0887,-8.756,0.0364,127.087,4
22,Savage Remix (feat. Beyoncé),Savage Remix (feat. Beyoncé),Megan Thee Stallion,2020-04-29,242000,92,0.822,0.016,0.822,0.743,0.0,0.127,-4.772,0.28,84.459,4
23,Sunday Best,Where the Light Is,Surfaces,2019-01-06,158571,93,0.878,0.183,0.878,0.525,0.0,0.0714,-6.832,0.0578,112.022,4
24,WHATS POPPIN,Sweet Action,Jack Harlow,2020-03-13,139741,92,0.923,0.017,0.923,0.604,0.0,0.272,-6.671,0.245,145.062,4
25,TROLLZ (with Nicki Minaj),TROLLZ (with Nicki Minaj),6ix9ine,2020-06-12,202666,80,0.744,0.0319,0.744,0.422,0.00011,0.11,-8.946,0.294,180.006,4
26,MAMACITA,MAMACITA,Black Eyed Peas,2020-04-10,249142,90,0.894,0.193,0.894,0.635,0.00105,0.0823,-6.929,0.0473,105.013,4
27,Circles,Hollywood's Bleeding,Post Malone,2019-09-06,215280,93,0.695,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4
28,TKN (feat. Travis Scott),TKN (feat. Travis Scott),ROSALÍA,2020-05-28,129370,90,0.776,0.192,0.776,0.509,1.49e-06,0.115,-6.266,0.467,94.634,4
29,Say So,Hot Pink,Doja Cat,2019-11-07,237893,93,0.787,0.256,0.787,0.673,3.57e-06,0.0904,-4.577,0.158,110.962,4
30,In Your Eyes,After Hours,The Weeknd,2020-03-20,237520,91,0.667,0.00285,0.667,0.719,8.1e-05,0.0736,-5.371,0.0346,100.021,4
31,Play Date,Cry Baby (Deluxe Edition),Melanie Martinez,2015-08-14,179867,91,0.68,0.612,0.68,0.729,0.0,0.224,-5.077,0.0475,123.97,4
32,goosebumps,Birds In The Trap Sing McKnight,Travis Scott,2016-09-16,243836,92,0.841,0.0847,0.841,0.728,0.0,0.149,-3.37,0.0484,130.049,4
33,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2019-11-22,215106,84,0.459,0.604,0.459,0.575,0.0,0.0885,-4.858,0.0573,111.881,4
